"ID","Q","1","2","3","4","ANS","TEXT","LINK","","","","","","","","","","","","","","","","","",""
"77","A user is trying to aggregate all the CloudWatch metric data of the last 1 week. 
Which of the below mentioned statistics is not available for the user as a part of data aggregation?","(A)Aggregate","(B)Sum","(C)Sample data","(D)Average","A","Amazon CloudWatch is basically a metrics repository. Either the user can send the custom data
or an AWS product can put metrics into the repository, and the user can retrieve the statistics
based on those metrics. The statistics are metric data aggregations over specified periods of
time. Aggregations are made using the namespace, metric name, dimensions, and the data point
unit of measure, within the time period that is specified by the user. 
CloudWatch supports Sum, Min, Max, Sample Data and Average statistics aggregation.","https://docs.aws.amazon.com/elasticloadbalancing/latest/application/load-balancer-cloudwatch-metrics.html","","","","","","","","","","","","","","","","","",""
"78","An organization is planning to use AWS for their production roll out. The organization wants to implement automation for deployment such that it will automatically create a LAMP stack, download the latest PHP installable from S3 and setup the ELB. Which of the below mentioned AWS services meets the requirement for making an orderly deployment of the software?","(A)AWS Elastic Beanstalk","(B)AWS Cloudfront","(C)AWS Cloudformation","(D)AWS DevOps","C","Cloud Formation also can include bash script to initiate setup.","https://aws.amazon.com/cloudformation/","","","","","","","","","","","","","","","","","",""
"79","A user has created a subnet with VPC and launched an EC2 instance in that subnet with only default settings. Which of the below mentioned options is ready to use on the EC2 instance as soon as it is launched?","(A)Elastic IP","(B)Private IP","(C)Public IP","(D)Internet gateway","B","A. Elastic IP – Have to set it manually
C. Public IP – Need an IGW(Internet Gateway) first since it’s a new VPC
D. Internet Gateway – Need to create it since it’s a new VPC","https://docs.aws.amazon.com/vpc/latest/userguide/vpc-ip-addressing.html","","","","","","","","","","","","","","","","","",""
"80","An organization is setting up programmatic billing access for their AWS account. 
Which of the below mentioned services is not required or enabled when the organization wants to use programmatic access?","(A)Programmatic access","(B)AWS bucket to hold the billing report","(C)AWS billing alerts","(D)Monthly Billing report","C","Billing alarms can help to protect you against unknowingly accruing charges if you inadvertently use a service outside of the free tier or if traffic exceeds your expectations.
The question is not referring to notification capabilities but what is required to enable programmatic access. Billing alerts don't serve that purpose, hence C should be the answer.","https://docs.aws.amazon.com/AmazonCloudWatch/latest/monitoring/monitor_estimated_charges_with_cloudwatch.html","","","","","","","","","","","","","","","","","",""
"81","Per the AWS Acceptable Use Policy, penetration testing of EC2 instances:","(A)May be performed by AWS, and will be performed by AWS upon customer request.","(B)May be performed by AWS, and is periodically performed by AWS.","(C)Are expressly prohibited under all circumstances.","(D)May be performed by the customer on their own instances with prior authorization from AWS.","D","Our Acceptable Use Policy describes permitted and prohibited behavior on AWS and includes descriptions of prohibited security violations and network abuse. However, because penetration testing and other simulated events are frequently indistinguishable from these activities, we have established a policy for customers to request permission to conduct penetration tests and vulnerability scans to or originating from the AWS environment.","https://www.briefmenow.org/amazon/per-the-aws-acceptable-use-policy-penetration-testing-of-ec2-instances/","","","","","","","","","","","","","","","","","",""
"82","You have an application running on an Amazon Elastic Compute Cloud instance, that uploads 5 GB video objects to Amazon Simple Storage Service (S3). Video uploads are taking longer than expected, resulting in poor application performance. Which method will help improve performance of your application?
","(A)Enable enhanced networking","(B)Use Amazon S3 multipart upload","(C) Leveraging Amazon CloudFront, use the HTTP POST method to reduce latency.","(D) Use Amazon Elastic Block Store Provisioned IOPs and use an Amazon EBS-optimized
instance","B","sing multipart upload provides the following advantages:

– Improved throughput—You can upload parts in parallel to improve throughput.
– Quick recovery from any network issues—Smaller part size minimizes the impact of restarting a failed upload due to a network error.
– Pause and resume object uploads—You can upload object parts over time. Once you initiate a multipart upload there is no expiry; you must explicitly complete or abort the multipart upload.
– Begin an upload before you know the final object size—You can upload an object as you are creating it.","https://aws.amazon.com/premiumsupport/knowledge-center/s3-multipart-upload-cli/","","","","","","","","","","","","","","","","","",""
"83","A user has configured an Auto Scaling group with ELB. The user has enabled detailed CloudWatch monitoring on Auto Scaling.  Which of the below mentioned statements will help the user understand the functionality better?","(A)It is not possible to setup detailed monitoring for Auto Scaling","(B)In this case, Auto Scaling will send data every minute and will charge the user extra","(C)Detailed monitoring will send data every minute without additional charges","(D)Auto Scaling sends data every minute only and does not charge the user","B","Ans might be ELB sends data to CloudWatch every minute only and does not charge the user.

CloudWatch is used to monitor AWS as well as the custom services.  It provides either basic or detailed monitoring for the supported AWS products.  In basic monitoring, a service sends data points to CloudWatch every five minutes,  while in detailed monitoring a service sends data points to CloudWatch every minute.  Elastic Load Balancing includes 10 metrics and 2 dimensions, and sends data to CloudWatch every minute. 
This does not cost extra.","https://aws.amazon.com/blogs/aws/category/auto-scaling/","","","","","","","","","","","","","","","","","",""
"84","A system admin is planning to setup event notifications on RDS. 
Which of the below mentioned services will help the admin setup notifications?","(A)AWS SES","(B)AWS Cloudtrail","(C)AWS Cloudwatch","(D)AWS SNS","D","Amazon RDS uses the Amazon Simple Notification Service to provide a notification when an Amazon RDS event occurs. 
These notifications can be in any notification form supported by Amazon SNS for an AWS region, such as an email, a text message or a call to an HTTP endpoint.","https://aws.amazon.com/sns/","","","","","","","","","","","","","","","","","",""
"85","You are building an online store on AWS that uses SQS to process your customer orders. Your backend system needs those messages in the same sequence the customer orders have been put in. How can you achieve that?","(A)It is not possible to do this with SQS","(B)You can use sequencing information on each message","(C)You can do this with SQS but you also need to use SWF","(D)Messages will arrive in the same order by default","B","Amazon SQS makes a best effort to preserve order in messages, but due to the distributed nature of the queue, we cannot guarantee that you will receive messages in the exact order you sent them. You typically place sequencing information or timestamps in your messages so that you can reorder them upon receipt.","https://aws.amazon.com/blogs/developer/tag/message-sequencing/","","","","","","","","","","","","","","","","","",""
"86","An organization wants to move to Cloud.  They are looking for a secure encrypted database storage option. Which of the below mentioned AWS functionalities helps them to achieve this?","(A)AWS MFA with EBS","(B)AWS EBS encryption","(C)Multi-tier encryption with Redshift","(D)AWS S3 server side storage","B","AWS EBS supports encryption of the volume while creating new volumes. 
It also supports creating volumes from existing snapshots provided the snapshots are created from encrypted volumes. 
The data at rest, the I/O as well as all the snapshots of EBS will be encrypted. 
The encryption occurs on the servers that host the EC2 instances, 
providing encryption of data as it moves between the EC2 instances and EBS storage. 
EBS encryption is based on the AES-256 cryptographic algorithm, which is the industry standard.","https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/EBSEncryption.html","","","","","","","","","","","","","","","","","",""
"87","A user has created a VPC with the public subnet. The user has created a security group for that VPC. Which of the below mentioned statements is true when a security group is created?","(A)It can connect to the AWS services, such as S3 and RDS by default","(B)It will have all the inbound traffic by default","(C)It will have all the outbound traffic by default","(D)It will by default allow traffic to the internet gateway","C","Security groups have no inbound rules but outbound rule is set to allow all traffic by default.","https://docs.aws.amazon.com/vpc/latest/userguide/VPC_SecurityGroups.html","","","","","","","","","","","","","","","","","",""
"88","A user is planning to set up the Multi AZ feature of RDS. Which of the below mentioned conditions won't take advantage of the Multi AZ feature?","(A)Availability zone outage","(B)A manual failover of the DB instance using Reboot with failover option","(C)Region outage","(D)When the user changes the DB instance’s server type","C","In the event of a planned or unplanned outage of your DB instance, Amazon RDS automatically switches to a standby replica in another Availability Zone if you have enabled Multi-AZ. The time it takes for the failover to complete depends on the database activity and other conditions at the time the primary DB instance became unavailable. Failover times are typically 60-120 seconds. However, large transactions or a lengthy recovery process can increase failover time. When the failover is complete, it can take additional time for the RDS console UI to reflect the new Availability Zone.","https://aws.amazon.com/rds/details/multi-az/","","","","","","","","","","","","","","","","","",""
"89","An organization has configured a VPC with an Internet Gateway (IGW). pairs of public and private subnets (each with one subnet per Availability Zone), and an Elastic Load Balancer (ELB) configured to use the public subnets The application s web tier leverages the ELB. Auto Scaling and a mum-AZ RDS database instance The organization would like to eliminate any potential single points ft failure in this design.What step should you take to achieve this organization's objective?","(A)Nothing, there are no single points of failure in this architecture.","(B)Create and attach a second IGW to provide redundant internet connectivity.","(C)Create and configure a second Elastic Load Balancer to provide a redundant load balancer.
","(D)Create a second multi-AZ RDS instance in another Availability Zone and configurereplication
to provide a redundant database.","C","ELB is designed to be HA across Availability Zones. You need multiple ELB if you want HA across regions.

“AWS Load Balancer – Cross Network

Many times it happens that after setting up your ELB, you experience significant drops in your performance. The best way to handle this situation is to start with identifying whether your ELB is single AZ or multiple AZ, as single AZ ELB is also considered as one of the Single Points of Failures on AWS Cloud. Once you identify your ELB, it is necessary to make sure ELB loads are kept cross regions.”","https://aws.amazon.com/elasticloadbalancing/","","","","","","","","","","","","","","","","","",""
"90","If you want to launch Amazon Elastic Compute Cloud (EC2) Instances and assign each Instance
a predetermined private IP address you should:","(A)Assign a group or sequential Elastic IP address to the instances
","(B)Launch the instances in a Placement Group
","(C)Launch the instances in the Amazon virtual Private Cloud (VPC).
","(D)Use standard EC2 instances since each instance gets a private Domain Name Service (DNS)
already","C","C is correct, when you’re launching the instance you can specify the IP address if using VPC. EC2 Classic doesn’t support this, as all EC2 instances in Classic share the same subnet with other accounts. EC2 Classic is like the Wild West of Cloud.","https://aws.amazon.com/vpc/","","","","","","","","","","","","","","","","","",""
"91","You are attempting to connect to an instance in Amazon VPC without success. You have already
verified that the VPC has an Internet Gateway (IGW) the instance has an associated Elastic IP
(EIP) and correct security group rules are in place.
Which VPC component should you evaluate next?","(A)The configuration of a MAT instance","(B)The configuration of the Routing Table","(C)The configuration of the internet Gateway (IGW)
","(D)The configuration of SRC'DST checking","C","An internet gateway is a horizontally scaled, redundant, and highly available VPC component that allows communication between instances in your VPC and the internet. It therefore imposes no availability risks or bandwidth constraints on your network traffic.","https://docs.aws.amazon.com/vpc/latest/userguide/VPC_Internet_Gateway.html","","","","","","","","","","","","","","","","","",""
"92","A photo-sharing service stores pictures in Amazon Simple Storage Service (S3) and allows application sign-in using an OpenID Connect-compatible identity provider. Which AWS Security Token Service approach to temporary access should you use for the Amazon S3 operations?
","(A) SAML-based Identity Federation","(B) Cross-Account Access","(C) AWS Identity and Access Management roles","(D)  Web Identity Federation","D","Web identity federation – You can let users sign in using a well-known third party identity provider such as Login with Amazon, Facebook, Google, or any OpenID Connect (OIDC) 2.0 compatible provider.

AWS STS web identity federation supports Login with Amazon, Facebook, Google, and any OpenID Connect (OICD)-compatible identity provider.","https://docs.aws.amazon.com/IAM/latest/UserGuide/id_roles_providers_oidc.html","","","","","","","","","","","","","","","","","",""
"93","You manually launch a NAT AMI in a public subnet. The network is properly configured. Security groups and network access control lists are property configured. Instances in a private subnet can access the NAT. The NAT can access the Internet. However, private instances cannot access the Internet. What additional step is required to allow access from the private instances?
","(A) Enable Source/Destination Check on the private Instances.","(B) Enable Source/Destination Check on the NAT instance.","(C) Disable Source/Destination Check on the private instances.
 ","(D)  Disable Source/Destination Check on the NAT instance.","D","By default the NAT will perform Source Checks before it forwards the packet it received from EC2 instance out to the Internet and hence Source Checks need to be disabled on the NAT instance.","https://docs.aws.amazon.com/vpc/latest/userguide/VPC_NAT_Instance.html","","","","","","","","","","","","","","","","","",""
"94","You have a web-style application with a stateless but CPU and memory-intensive web tier running on a cc2 8xlarge EC2 instance inside of a VPC The instance when under load is having problems returning requests within the SLA as defined by your business The application maintains its state in a DynamoDB table, but the data tier is properly provisioned and responses are consistently fast. How can you best resolve the issue of the application responses not meeting your SLA?","(A)Add another cc2 8xlarge application instance, and put both behind an Elastic Load Balancer","(B)Move the cc2 8xlarge to the same Availability Zone as the DynamoDB table","(C)Cache the database responses in ElastiCache for more rapid access","(D)Move the database from DynamoDB to RDS MySQL in scale-out read-replica configuration","B","stateless – so you cant use load balancer.. And its a VPC so they both are may be in different availability zone.. Placing this web/app server along with the DB server since they store the sessions in Dynamo DB is the right answer","https://docs.aws.amazon.com/amazondynamodb/latest/developerguide/GlobalTables.html","","","","","","","","","","","","","","","","","",""
"95","Please select the Amazon EC2 resource which cannot be tagged.

","(A) images (AMIs, kernels, RAM disks)","(B)Amazon EBS volumes","(C)Elastic IP addresses
","(D)VPCs","C","No tagging support for EIP.","https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/Using_Tags.html#tag-restrictions","","","","","","","","","","","","","","","","","",""
"96","Which of the following services natively encrypts data at rest within an AWS region? 

","(A)  AWS Storage Gateway
","(B) Amazon DynamoDB
","(C) Amazon CloudFront
","(D) Amazon Simple Queue Service","A","AWS services support data encrypted at rest:
-S3
-Glacier
-RDS
-EBS
-EMR
-Redshift
-storage gateway","https://docs.aws.amazon.com/storagegateway/latest/userguide/encryption.html","","","","","","","","","","","","","","","","","",""
"97","You have identified network throughput as a bottleneck on your m1. small EC2 instance when uploading data Into Amazon S3 In the same region. How do you remedy this situation?","(A)Add an additional ENI","(B)Change to a larger Instance","(C)Use DirectConnect between EC2 and S3","(D)Use EBS PIOPS on the local volume","B","T2 instance type replacement T1,M1 instance.","https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/ec2-instance-resize.html","","","","","","","","","","","","","","","","","",""
"98","An application that you are managing has EC2 instances & Dynamo DB tables deployed to several AWS Regions In order to monitor the performance of the application globally, you would like to see two graphs 1) Avg CPU Utilization across all EC2 instances and 2) Number of Throttled Requests for all DynamoDB tables. How can you accomplish this?","(A)Tag your resources with the application name, and select the tag name as the dimension in the Cloudwatch Management console to view the respective graphs","(B)Use the Cloud Watch CLI tools to pull the respective metrics from each regional endpoint Aggregate the data offline & store it for graphing in CloudWatch.","(C)Add SNMP traps to each instance and DynamoDB table Leverage a central monitoring server to capture data from each instance and table Put the aggregate data into Cloud Watch for graphing.
","(D)Add a CloudWatch agent to each instance and attach one to each DynamoDB table. When configuring the agent set the appropriate application name & view the graphs in CloudWatch.","C","SNMP Traps are alert messages sent from a remote SNMP-enabled device to a central collector, the ""SNMP manager"". A Trap might tell you that a device is overheating, for example. (As you'll recall, SNMP is one possible protocol that devices can use to communicate.)","https://docs.aws.amazon.com/zh_cn/apigateway/latest/developerguide/api-gateway-request-throttling.html","","","","","","","","","","","","","","","","","",""
"99","What is a placement group?","(A)A collection of Auto Scaling groups in the same Region","(B)Feature that enables EC2 instances to interact with each other via nigh bandwidth, low
latency connections","(C)A collection of Elastic Load Balancers in the same Region or Availability Zone
","(D)A collection of authorized Cloud Front edge locations for a distribution","C","A placement group is a logical grouping of instances within a single Availability Zone.","https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/placement-groups.html","","","","","","","","","","","","","","","","","",""
"100","A startup company hired you to help them build a mobile application, that will ultimately store billions of images and videos in Amazon Simple Storage Service (S3). The company is lean on funding, and wants to minimize operational costs, however, they have an aggressive marketing plan, and expect to double their current installation base every six months. Due to the nature of their business, they are expecting sudden and large increases in traffic to and from S3, and need to ensure that it can handle the performance needs of their application.?? What other information must you gather from this customer in order to determine whether S3 is the right option?
","(A)You must know how many customers the company has today, because this is critical in understanding what their customer base will be in two years.","(B)You must find out the total number of requests per second at peak usage.","(C)You must know the size of the individual objects being written to S3, in order to properly
design the key namespace.","(D)In order to build the key namespace correctly, you must understand the total amount of
storage needs for each S3 bucket.","D","You must find out the total number of requests per second at peak usage.

This is because the S3 api does have limits on the requests per second.

""This topic discusses Amazon S3 best practices for optimizing performance depending on your request rates. If your workload in an Amazon S3 bucket routinely exceeds 100 PUT/LIST/DELETE requests per second or more than 300 GET requests per second, follow the guidelines in this topic to ensure the best performance and scalability.""","http://docs.aws.amazon.com/AmazonS3/latest/dev/request-rate-perf-considerations.html","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
